2016-09-28 15:51:17,048 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:51:22,161 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:51:22,670 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:51:22,749 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:51:27,807 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:51:28,337 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:51:28,342 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:51:33,333 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:51:33,885 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:51:33,935 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:51:38,838 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:51:39,477 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:51:39,632 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:51:44,365 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:51:45,013 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:51:45,304 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:51:49,873 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:51:50,555 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:51:50,856 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:51:55,401 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:51:56,200 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:51:56,417 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:52:00,932 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:01,989 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:02,101 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:52:06,457 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:07,638 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:07,658 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:52:11,982 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:13,218 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.81 is running, app log is OK!
2016-09-28 15:52:13,289 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:17,511 - dataflume-monitor-logger - INFO - extractor tungsten.jar on 10.166.224.83 is running, app log is OK!
2016-09-28 15:52:18,899 - dataflume-monitor-logger - INFO - applier java on 10.166.224.83 is running, app log is OK!
